#name_not_found:= FunctionWrap:: set=<bound method lakeshore_370_wrapper_class.set_T of LakeShore = <"lakeshore_370_wrapper_class(ASRL1)" instrument at 0x0d7dfb00>>, get=<bound method lakeshore_370_wrapper_class.get_T of LakeShore = <"lakeshore_370_wrapper_class(ASRL1)" instrument at 0x0d7dfb00>>, check=None, getformat=None, user_ret_as_cache=False; ::other_options={};
#record options:= {'async': False, 'interval': 5};
#time	name_not_found
1576780276.267	0.0150644
1576780281.629	0.0150615
1576780286.993	0.0150603
1576780292.317	0.0150579
1576780297.669	0.0150727
1576780303.011	0.0150777
1576780308.376	0.0150966
1576780313.733	0.0151063
1576780319.092	0.0151325
1576780324.451	0.0151529
1576780329.785	0.0151868
1576780335.133	0.0152123
1576780340.486	0.0152367
1576780345.858	0.015273
1576780351.218	0.0153188
1576780356.566	0.0153612
1576780361.939	0.015405
1576780367.312	0.0154595
1576780372.691	0.0155105
1576780378.039	0.0155708
1576780383.395	0.0156251
1576780388.75	0.0156597
1576780394.093	0.0157286
1576780399.477	0.015781
1576780404.849	0.0158463
1576780410.21	0.0159067
1576780415.572	0.015976
1576780420.916	0.0160412
1576780426.258	0.0161092
1576780431.606	0.0161814
1576780436.949	0.016249
1576780442.294	0.0163086
1576780447.634	0.0163867
1576780452.975	0.0164581
1576780458.314	0.0165374
1576780463.668	0.0166154
1576780469.031	0.016663
1576780474.404	0.0167423
1576780479.773	0.0168203
1576780485.138	0.0169099
1576780490.491	0.0169803
1576780495.86	0.0170601
1576780501.234	0.0171327
1576780506.59	0.0171996
1576780511.934	0.0172923
1576780517.3	0.0173739
1576780522.658	0.0174413
1576780528.014	0.0175055
1576780533.384	0.0175784
1576780538.75	0.017649
1576780544.105	0.0177236
1576780549.468	0.0178057
1576780554.812	0.0178809
1576780560.154	0.0179491
1576780565.493	0.0180079
1576780570.836	0.0180882
1576780576.172	0.0181561
1576780581.514	0.0182333
1576780586.847	0.0182972
1576780592.179	0.0183635
1576780597.516	0.0184237
1576780602.852	0.0184985
1576780608.195	0.0185706
1576780613.539	0.0186241
1576780618.882	0.0186738
1576780624.245	0.0187597
1576780629.589	0.0188097
1576780634.949	0.0188617
1576780640.297	0.0189161
1576780645.643	0.0189804
1576780651.003	0.0190412
1576780656.349	0.0191014
1576780661.712	0.0191555
1576780667.053	0.0192068
1576780672.392	0.0192448
1576780677.731	0.0193021
1576780683.067	0.0193617
1576780688.406	0.0194052
1576780693.745	0.0194567
1576780699.086	0.0194946
1576780704.422	0.0195279
1576780709.767	0.0195945
1576780715.106	0.0196104
1576780720.445	0.019663
1576780725.79	0.0197074
1576780731.132	0.0197432
1576780736.473	0.0197676
1576780741.822	0.0198271
1576780747.181	0.0198617
1576780752.527	0.0198849
1576780757.87	0.0199292
1576780763.231	0.0199603
1576780768.575	0.0199993
1576780773.919	0.0200236
1576780779.281	0.0200521
1576780784.631	0.0200993
1576780789.994	0.0201034
1576780795.343	0.020135
1576780800.708	0.0201572
1576780806.07	0.020166
1576780811.419	0.0201827
1576780816.783	0.0201974
1576780822.131	0.0201861
1576780827.495	0.0202148
1576780832.863	0.0202031
1576780838.216	0.0201993
1576780843.597	0.0201998
1576780848.949	0.0202045
1576780854.317	0.0201711
1576780859.688	0.0201662
1576780865.04	0.0201442
1576780870.401	0.0201301
1576780875.77	0.0201022
1576780881.139	0.0200813
1576780886.466	0.0200872
1576780891.784	0.0200484
1576780897.101	0.0200331
1576780902.428	0.0200248
1576780907.745	0.0200103
1576780913.063	0.0199955
1576780918.381	0.0199808
1576780923.703	0.0199653
1576780929.031	0.019933
1576780934.355	0.0199097
1576780939.671	0.0199131
1576780945.0	0.0199075
1576780950.318	0.0199028
1576780955.641	0.0198854
1576780960.966	0.0199078
1576780966.302	0.0198824
1576780971.625	0.0198879
1576780976.957	0.019885
1576780982.278	0.0199012
1576780987.609	0.0199165
1576780992.942	0.0199165
1576780998.264	0.0199045
1576781003.597	0.0199223
1576781008.921	0.0199286
1576781014.247	0.0199363
1576781019.579	0.0199574
1576781024.901	0.0199779
1576781030.231	0.0199932
1576781035.563	0.0199928
1576781040.895	0.020004
1576781046.226	0.020023
1576781051.548	0.0200165
1576781056.879	0.0200361
1576781062.21	0.0200571
1576781067.541	0.020044
1576781072.863	0.020046
1576781078.185	0.0200627
1576781083.52	0.0200657
1576781088.866	0.0200753
1576781094.197	0.0200682
1576781099.526	0.020068
1576781104.859	0.0200664
1576781110.189	0.0200702
1576781115.52	0.0200958
1576781120.853	0.0200588
1576781126.179	0.0200572
1576781131.514	0.0200558
1576781136.846	0.0200589
1576781142.171	0.0200378
1576781147.491	0.0200191
1576781152.814	0.0200249
1576781158.148	0.0200219
1576781163.47	0.0200199
1576781168.804	0.0200177
1576781174.125	0.0199966
1576781179.456	0.0199953
1576781184.777	0.0199958
1576781190.106	0.0199836
1576781195.437	0.0199843
1576781200.76	0.0199799
1576781206.094	0.0199788
1576781211.428	0.0199726
1576781216.75	0.0199691
1576781222.083	0.0199738
1576781227.418	0.0199494
1576781232.74	0.0199567
1576781238.079	0.0199581
1576781243.418	0.0199662
1576781248.756	0.0199521
1576781254.108	0.0199701
1576781259.438	0.0199675
1576781264.776	0.0199673
1576781270.116	0.0199692
1576781275.446	0.0199801
1576781280.783	0.0199859
1576781286.119	0.0199935
1576781291.458	0.0199802
1576781296.793	0.0199869
1576781302.132	0.0199904
1576781307.468	0.020002
1576781312.809	0.0199902
1576781318.148	0.0199795
1576781323.474	0.0200087
1576781328.806	0.0200097
1576781334.151	0.0199989
1576781339.475	0.0200283
1576781344.806	0.0200099
1576781350.128	0.020037
1576781355.466	0.0200362
1576781360.791	0.0200215
1576781366.12	0.0200478
1576781371.46	0.0200444
1576781376.785	0.0200265
1576781382.11	0.0200362
1576781387.435	0.0200353
1576781392.763	0.0200139
1576781398.1	0.0200209
1576781403.437	0.0200299
1576781408.78	0.0200221
1576781414.115	0.0199926
1576781419.455	0.0200108
1576781424.793	0.0200095
1576781430.118	0.0200076
1576781435.457	0.0200048
1576781440.786	0.0199995
1576781446.125	0.020008
1576781451.467	0.0199929
1576781456.806	0.0199951
1576781462.146	0.0199932
1576781467.483	0.019992
1576781472.824	0.0199927
1576781478.165	0.0199921
1576781483.505	0.0199774
1576781488.843	0.0199849
1576781494.168	0.0199875
1576781499.503	0.0199928
1576781504.842	0.0199902
1576781510.182	0.0199834
1576781515.52	0.0199898
1576781520.86	0.0199974
1576781526.201	0.0199775
1576781531.54	0.0199828
1576781536.881	0.0199996
1576781542.224	0.0199871
1576781547.553	0.0200023
1576781552.899	0.0200125
1576781558.228	0.0200003
1576781563.557	0.0200009
1576781568.892	0.0200102
1576781574.231	0.0200084
1576781579.57	0.0199986
1576781584.909	0.0199986
1576781590.251	0.0200122
1576781595.595	0.0200035
1576781600.927	0.0200014
1576781606.266	0.0200009
1576781611.606	0.0200085
1576781616.934	0.0200098
1576781622.261	0.0200113
1576781627.602	0.0199908
