#name_not_found:= FunctionWrap:: set=<bound method lakeshore_370_wrapper_class.set_T of LakeShore = <"lakeshore_370_wrapper_class(ASRL1)" instrument at 0x0d7dfb00>>, get=<bound method lakeshore_370_wrapper_class.get_T of LakeShore = <"lakeshore_370_wrapper_class(ASRL1)" instrument at 0x0d7dfb00>>, check=None, getformat=None, user_ret_as_cache=False; ::other_options={};
#record options:= {'async': False, 'interval': 5};
#time	name_not_found
1576789412.22	0.0170266
1576789417.58	0.0229119
1576789422.921	0.0385276
1576789428.234	0.0777145
1576789433.576	0.0845767
1576789438.915	0.088692
1576789444.278	0.0919483
1576789449.622	0.0945449
1576789454.97	0.0978067
1576789460.34	0.100884
1576789465.666	0.103555
1576789470.997	0.106214
1576789476.34	0.108864
1576789481.686	0.111693
1576789487.029	0.114281
1576789492.367	0.116909
1576789497.713	0.119546
1576789503.059	0.121981
1576789508.428	0.124377
1576789513.768	0.126566
1576789519.122	0.128712
1576789524.472	0.13072
1576789529.815	0.132753
1576789535.179	0.134631
1576789540.54	0.136446
1576789545.906	0.138179
1576789551.279	0.139814
1576789556.621	0.141443
1576789561.96	0.143087
1576789567.297	0.144473
1576789572.643	0.146063
1576789578.004	0.147559
1576789583.351	0.149162
1576789588.695	0.150694
1576789594.046	0.152406
1576789599.396	0.154003
1576789604.756	0.155708
1576789610.112	0.157432
1576789615.46	0.158846
1576789620.828	0.160339
1576789626.189	0.161689
1576789631.557	0.162879
1576789636.928	0.164014
1576789642.289	0.165463
1576789647.651	0.167005
1576789653.006	0.168732
1576789658.369	0.170187
1576789663.737	0.171901
1576789669.119	0.173707
1576789674.483	0.175108
1576789679.855	0.177176
1576789685.23	0.178974
1576789690.581	0.180598
1576789695.925	0.182454
1576789701.273	0.183878
1576789706.622	0.185445
1576789711.974	0.186798
1576789717.316	0.188252
1576789722.662	0.189736
1576789728.007	0.191042
1576789733.351	0.192019
1576789738.692	0.193339
1576789744.033	0.19426
1576789749.371	0.19543
1576789754.711	0.196509
1576789760.052	0.197327
1576789765.392	0.198354
1576789770.732	0.199436
1576789776.072	0.200286
1576789781.411	0.200904
1576789786.752	0.201443
1576789792.096	0.201429
1576789797.438	0.201263
1576789802.781	0.201739
1576789808.122	0.201593
1576789813.463	0.20159
1576789818.812	0.201776
1576789824.175	0.201746
1576789829.543	0.201562
1576789834.911	0.201781
1576789840.26	0.201684
1576789845.625	0.201635
1576789850.991	0.201536
1576789856.361	0.201659
1576789861.711	0.20168
1576789867.061	0.201477
1576789872.412	0.201611
1576789877.779	0.201831
1576789883.128	0.201368
1576789888.492	0.20138
1576789893.842	0.201417
1576789899.191	0.201099
1576789904.547	0.201137
1576789909.928	0.201197
1576789915.306	0.200909
1576789920.658	0.201058
1576789926.02	0.200711
1576789931.369	0.200836
1576789936.738	0.200551
1576789942.102	0.20051
1576789947.468	0.200283
1576789952.818	0.200384
1576789958.166	0.20047
1576789963.515	0.200241
1576789968.866	0.200271
1576789974.231	0.20028
1576789979.581	0.200045
1576789984.939	0.199852
1576789990.303	0.199962
1576789995.655	0.199741
1576790001.005	0.199721
1576790006.362	0.199758
1576790011.711	0.199563
1576790017.077	0.199778
1576790022.443	0.199479
1576790027.809	0.199684
1576790033.159	0.199542
1576790038.524	0.199607
1576790043.873	0.199664
1576790049.234	0.199746
1576790054.601	0.199519
1576790059.97	0.199764
1576790065.335	0.199683
1576790070.685	0.199634
1576790076.052	0.199754
1576790081.417	0.199495
1576790086.767	0.199661
1576790092.118	0.199603
1576790097.471	0.199448
1576790102.837	0.199643
1576790108.186	0.19928
1576790113.553	0.199459
1576790118.906	0.199477
1576790124.264	0.199388
1576790129.63	0.199333
1576790134.999	0.199421
1576790140.367	0.19927
1576790145.718	0.199296
1576790151.082	0.1992
1576790156.447	0.199448
1576790161.799	0.199324
1576790167.162	0.199406
1576790172.513	0.199532
1576790177.872	0.199525
1576790183.228	0.199268
1576790188.568	0.199482
1576790193.899	0.199377
1576790199.248	0.199297
1576790204.586	0.199438
1576790209.935	0.199186
1576790215.324	0.199263
1576790220.661	0.199307
1576790225.997	0.199256
1576790231.34	0.199273
1576790236.68	0.199327
1576790242.033	0.199462
1576790247.375	0.199095
1576790252.717	0.199195
