#name_not_found:= FunctionWrap:: set=<bound method lakeshore_370_wrapper_class.set_T of LakeShore = <"lakeshore_370_wrapper_class(ASRL1)" instrument at 0x0d7dfb00>>, get=<bound method lakeshore_370_wrapper_class.get_T of LakeShore = <"lakeshore_370_wrapper_class(ASRL1)" instrument at 0x0d7dfb00>>, check=None, getformat=None, user_ret_as_cache=False; ::other_options={};
#record options:= {'async': False, 'interval': 5};
#time	name_not_found
1576788346.282	0.145501
1576788351.639	0.141044
1576788356.995	0.137829
1576788362.319	0.135024
1576788367.658	0.132401
1576788373.007	0.129853
1576788378.352	0.127538
1576788383.702	0.12543
1576788389.056	0.123373
1576788394.402	0.121464
1576788399.733	0.11961
1576788405.067	0.117938
1576788410.405	0.116179
1576788415.761	0.114474
1576788421.118	0.112881
1576788426.481	0.111395
1576788431.836	0.109873
1576788437.203	0.1084
1576788442.576	0.106933
1576788447.929	0.105591
1576788453.277	0.104189
1576788458.642	0.102917
1576788463.991	0.101577
1576788469.337	0.100164
1576788474.709	0.0988772
1576788480.063	0.0976198
1576788485.433	0.0963548
1576788490.759	0.0950474
1576788496.093	0.0938578
1576788501.438	0.0926642
1576788506.79	0.0913633
1576788512.125	0.0900991
1576788517.461	0.088902
1576788522.8	0.0877468
1576788528.135	0.0864751
1576788533.48	0.0852679
1576788538.82	0.0840392
1576788544.165	0.0828711
1576788549.513	0.0816
1576788554.855	0.0803858
1576788560.215	0.0791915
1576788565.561	0.0780294
1576788570.914	0.0768655
1576788576.28	0.0757203
1576788581.656	0.0745148
1576788587.007	0.0734434
1576788592.365	0.0723549
1576788597.731	0.0711708
1576788603.1	0.0700645
1576788608.477	0.0690166
1576788613.859	0.0679466
1576788619.224	0.0669935
1576788624.57	0.065913
1576788629.902	0.0648629
1576788635.23	0.0639428
1576788640.577	0.0629758
1576788645.913	0.0620384
1576788651.253	0.0610698
1576788656.593	0.0601164
1576788661.934	0.0592267
1576788667.27	0.058413
1576788672.612	0.0575242
1576788677.952	0.056652
1576788683.281	0.0558184
1576788688.609	0.0549622
1576788693.942	0.0541941
1576788699.284	0.0534101
1576788704.623	0.0526507
1576788709.967	0.0518866
1576788715.309	0.0511043
1576788720.64	0.05036
1576788725.984	0.0496008
1576788731.316	0.0489135
1576788736.662	0.0482342
1576788742.003	0.0475503
1576788747.346	0.0468875
1576788752.677	0.0462573
1576788758.023	0.045616
1576788763.366	0.0449928
1576788768.713	0.0443888
1576788774.053	0.0437934
1576788779.392	0.0432077
1576788784.733	0.0426261
1576788790.073	0.0420621
1576788795.412	0.0415339
1576788800.751	0.0409981
1576788806.091	0.040469
1576788811.431	0.0402551
1576788816.774	0.0393962
1576788822.118	0.0389085
1576788827.461	0.0384417
1576788832.802	0.0379126
1576788838.159	0.0374916
1576788843.501	0.0370392
1576788848.846	0.0366162
1576788854.199	0.036151
1576788859.54	0.0357248
1576788864.894	0.0352865
1576788870.237	0.0349224
1576788875.58	0.0345006
1576788880.927	0.0341304
1576788886.29	0.0337522
1576788891.651	0.0334188
1576788896.998	0.0330256
1576788902.343	0.0326764
1576788907.704	0.0322993
1576788913.05	0.0319822
1576788918.414	0.0316628
1576788923.76	0.0313338
1576788929.126	0.0310221
1576788934.471	0.0306735
1576788939.842	0.0303806
1576788945.207	0.0300776
1576788950.559	0.0297833
1576788955.885	0.0295028
1576788961.2	0.0292282
1576788966.515	0.0289495
1576788971.842	0.0286774
1576788977.157	0.0284377
1576788982.471	0.0281485
1576788987.796	0.0279103
1576788993.119	0.0276496
1576788998.444	0.0274136
1576789003.756	0.0271572
1576789009.08	0.0269505
1576789014.406	0.0266848
1576789019.737	0.0264899
1576789025.068	0.0262703
1576789030.385	0.0260719
1576789035.704	0.0258363
1576789041.034	0.0256296
1576789046.367	0.0254393
1576789051.689	0.025222
1576789057.02	0.0250279
1576789062.352	0.0248298
1576789067.674	0.0246378
1576789072.995	0.02442
1576789078.324	0.0242534
1576789083.658	0.0240788
1576789088.982	0.0238732
1576789094.313	0.0237401
1576789099.635	0.0235363
1576789104.962	0.0233853
1576789110.284	0.0232109
1576789115.613	0.0230372
1576789120.944	0.0228691
1576789126.263	0.0227369
1576789131.58	0.0225689
1576789136.905	0.0224221
1576789142.224	0.0222567
1576789147.553	0.0221084
1576789152.87	0.0219679
1576789158.2	0.0218369
1576789163.521	0.0217042
1576789168.853	0.021536
1576789174.181	0.021409
1576789179.514	0.0212656
1576789184.853	0.0211393
1576789190.185	0.0210154
1576789195.507	0.0208776
1576789200.839	0.0207678
1576789206.161	0.0206384
1576789211.5	0.0205284
1576789216.83	0.0204146
1576789222.162	0.0202833
1576789227.495	0.0201606
1576789232.823	0.0200249
1576789238.154	0.0199313
1576789243.474	0.0198215
1576789248.807	0.0197108
1576789254.142	0.0195952
1576789259.473	0.0194889
1576789264.806	0.0193853
1576789270.148	0.0192721
1576789275.488	0.0191639
1576789280.824	0.0190721
1576789286.175	0.0189706
1576789291.509	0.0188633
1576789296.858	0.0187833
1576789302.194	0.0186828
1576789307.544	0.0185927
1576789312.869	0.0184906
1576789318.194	0.0184086
1576789323.52	0.0183124
1576789328.855	0.0182214
