#name_not_found:= FunctionWrap:: set=<bound method lakeshore_370_wrapper_class.set_T of LakeShore = <"lakeshore_370_wrapper_class(ASRL1)" instrument at 0x0d7dfb00>>, get=<bound method lakeshore_370_wrapper_class.get_T of LakeShore = <"lakeshore_370_wrapper_class(ASRL1)" instrument at 0x0d7dfb00>>, check=None, getformat=None, user_ret_as_cache=False; ::other_options={};
#record options:= {'async': False, 'interval': 5};
#time	name_not_found
1576785108.811	0.00915265
1576785114.164	0.00944307
1576785119.521	0.00988712
1576785124.849	0.0104793
1576785130.179	0.0112511
1576785135.519	0.0122358
1576785140.876	0.013422
1576785146.217	0.014888
1576785151.563	0.0166594
1576785156.919	0.0187321
1576785162.255	0.0210637
1576785167.603	0.0238498
1576785172.945	0.0269733
1576785178.302	0.0304447
1576785183.661	0.034228
1576785189.006	0.0378352
1576785194.372	0.0407462
1576785199.724	0.0428071
1576785205.097	0.0442615
1576785210.457	0.0452277
1576785215.817	0.0460887
1576785221.168	0.0467227
1576785226.531	0.047297
1576785231.887	0.047901
1576785237.251	0.048301
1576785242.625	0.0487062
1576785248.001	0.0490491
1576785253.346	0.0491475
1576785258.687	0.0491633
1576785264.033	0.0492061
1576785269.376	0.0491846
1576785274.732	0.0491824
1576785280.076	0.0492074
1576785285.424	0.0493328
1576785290.784	0.0494834
1576785296.135	0.0497555
1576785301.498	0.0501208
1576785306.84	0.0503156
1576785312.172	0.0504071
1576785317.511	0.0503378
1576785322.852	0.0504926
1576785328.195	0.0505566
1576785333.538	0.050521
1576785338.882	0.0505628
1576785344.218	0.0506076
1576785349.56	0.0506434
1576785354.904	0.0506452
1576785360.271	0.0506695
1576785365.623	0.0506781
1576785370.982	0.0506706
1576785376.335	0.0506597
1576785381.697	0.0506791
1576785387.037	0.0506869
1576785392.372	0.0507154
1576785397.71	0.0506924
1576785403.034	0.0506108
1576785408.368	0.0505912
1576785413.71	0.0506596
1576785419.049	0.0506654
1576785424.392	0.0505421
1576785429.72	0.0505641
1576785435.062	0.0505772
1576785440.405	0.0506078
1576785445.745	0.0504918
1576785451.087	0.0504798
1576785456.428	0.0504187
1576785461.771	0.0504779
1576785467.11	0.0504709
1576785472.457	0.050345
1576785477.794	0.0503362
1576785483.138	0.0503839
1576785488.477	0.0503966
1576785493.817	0.0502984
1576785499.155	0.050318
1576785504.497	0.050275
1576785509.858	0.0502778
1576785515.204	0.0502628
1576785520.546	0.0502302
1576785525.889	0.0502232
1576785531.228	0.0502341
1576785536.569	0.0502274
1576785541.909	0.05018
1576785547.247	0.0501695
1576785552.582	0.0501715
1576785557.928	0.0501959
1576785563.274	0.0502072
1576785568.61	0.0501128
1576785573.962	0.0501776
1576785579.313	0.0501621
1576785584.664	0.0501655
1576785590.005	0.0501233
1576785595.345	0.0501169
1576785600.685	0.0501029
1576785606.025	0.0501212
1576785611.392	0.0501002
1576785616.737	0.0501039
1576785622.077	0.0500281
1576785627.419	0.0500283
1576785632.76	0.0500786
1576785638.114	0.0500069
1576785643.459	0.050007
1576785648.805	0.0500694
1576785654.151	0.050052
1576785659.511	0.0499544
1576785664.869	0.049992
1576785670.225	0.0500401
1576785675.57	0.0499557
1576785680.931	0.0500056
1576785686.277	0.0499319
1576785691.622	0.0499886
1576785696.988	0.0499551
1576785702.336	0.0499789
1576785707.702	0.0499217
1576785713.067	0.0498819
1576785718.385	0.0499926
1576785723.708	0.0499742
1576785729.027	0.0499318
1576785734.365	0.0498677
1576785739.705	0.0499679
