#name_not_found:= FunctionWrap:: set=<bound method lakeshore_370_wrapper_class.set_T of LakeShore = <"lakeshore_370_wrapper_class(ASRL1)" instrument at 0x0d7dfb00>>, get=<bound method lakeshore_370_wrapper_class.get_T of LakeShore = <"lakeshore_370_wrapper_class(ASRL1)" instrument at 0x0d7dfb00>>, check=None, getformat=None, user_ret_as_cache=False; ::other_options={};
#record options:= {'async': False, 'interval': 5};
#time	name_not_found
1576787581.782	0.0403123
1576787587.148	0.0785363
1576787592.498	0.085541
1576787597.821	0.0895543
1576787603.159	0.0923928
1576787608.49	0.0957583
1576787613.838	0.0987574
1576787619.177	0.10176
1576787624.529	0.104723
1576787629.875	0.107334
1576787635.208	0.110026
1576787640.547	0.112669
1576787645.883	0.115243
1576787651.225	0.117715
1576787656.581	0.120083
1576787661.943	0.122413
1576787667.308	0.124524
1576787672.655	0.126695
1576787678.022	0.128809
1576787683.359	0.130787
1576787688.695	0.132728
1576787694.036	0.13453
1576787699.375	0.136377
1576787704.726	0.138191
1576787710.091	0.139951
1576787715.453	0.141569
1576787720.804	0.143075
1576787726.136	0.144653
1576787731.468	0.146077
1576787736.804	0.147643
1576787742.148	0.149161
1576787747.496	0.150657
1576787752.827	0.151289
1576787758.162	0.151777
1576787763.508	0.151817
1576787768.852	0.152109
1576787774.193	0.152108
1576787779.534	0.152098
1576787784.875	0.152094
1576787790.211	0.152305
1576787795.556	0.152311
1576787800.909	0.152536
1576787806.253	0.152347
1576787811.605	0.152569
1576787816.973	0.152614
1576787822.323	0.152571
1576787827.666	0.152689
1576787833.025	0.152661
1576787838.379	0.152555
1576787843.744	0.152716
1576787849.112	0.152485
1576787854.461	0.152605
1576787859.814	0.152542
1576787865.148	0.15267
1576787870.486	0.152482
1576787875.833	0.152332
1576787881.169	0.15236
1576787886.506	0.152199
1576787891.856	0.152281
1576787897.203	0.152132
1576787902.552	0.152011
1576787907.897	0.152063
1576787913.237	0.151935
1576787918.583	0.151913
1576787923.93	0.151947
1576787929.281	0.151713
1576787934.627	0.15168
1576787939.967	0.151697
1576787945.308	0.1516
1576787950.647	0.151575
1576787955.987	0.151444
1576787961.326	0.151421
1576787966.666	0.151337
1576787972.013	0.151212
1576787977.349	0.151162
1576787982.689	0.150983
1576787988.029	0.151063
1576787993.375	0.150977
1576787998.721	0.150969
1576788004.073	0.15086
1576788009.408	0.15087
1576788014.757	0.150819
1576788020.097	0.150785
1576788025.435	0.150729
1576788030.776	0.150688
1576788036.138	0.150652
1576788041.487	0.150612
1576788046.827	0.150591
1576788052.167	0.150612
1576788057.517	0.150516
1576788062.853	0.150607
1576788068.189	0.150404
1576788073.529	0.150504
1576788078.867	0.150402
1576788084.202	0.150314
1576788089.55	0.150331
1576788094.889	0.150359
1576788100.226	0.150086
1576788105.567	0.150189
1576788110.906	0.150186
1576788116.245	0.150065
1576788121.586	0.150167
1576788126.934	0.150062
1576788132.271	0.15
1576788137.608	0.150107
1576788142.956	0.149877
1576788148.303	0.150048
1576788153.654	0.149936
1576788158.99	0.149933
1576788164.339	0.149828
1576788169.688	0.149863
1576788175.039	0.149896
1576788180.392	0.149866
1576788185.74	0.149891
1576788191.076	0.149917
1576788196.438	0.149737
1576788201.777	0.149808
1576788207.127	0.149873
1576788212.486	0.149811
1576788217.832	0.149834
1576788223.168	0.149845
1576788228.507	0.149849
1576788233.846	0.149843
1576788239.187	0.149755
1576788244.529	0.149749
1576788249.878	0.149884
1576788255.229	0.149715
1576788260.595	0.14974
1576788265.948	0.149669
1576788271.3	0.149674
1576788276.666	0.149986
1576788282.017	0.149723
